SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,35-39,18120.028,17174.978,35295.006
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,40-44,15805.237,15150.635,30955.872
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,45-49,14317.615,14084.558,28402.173
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,50-54,11859.57,11625.998,23485.568
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,55-59,10002.244,10003.964,20006.208
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,60-64,7749.93,8238.218,15988.148
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,65-69,5468.117,6414.489,11882.606
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,70-74,3288.31,4451.307,7739.617
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,75-79,1655.922,2532.68,4188.602
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,80-84,771.341,1286.754,2058.095
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,85-89,243.704,502.479,746.183
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,90-94,47.086,124.01,171.096
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1953,1953,95+,4.013,13.974,17.987
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,25-29,22767.647,20876.73,43644.377
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,30-34,19863.331,18690.714,38554.045
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,35-39,18038.658,17175.549,35214.207
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,40-44,16096.414,15316.197,31412.611
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,45-49,14319.822,14163.167,28482.989
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,50-54,12170.34,12048.608,24218.948
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,55-59,9927.008,9941.76,19868.768
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,60-64,7772.63,8307.987,16080.617
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,65-69,5486.333,6429.831,11916.164
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,70-74,3369.553,4553.062,7922.615
